	s28504	s29753	s31166	LP17_F	LP09_F	s26891	s31407	s12389	s29745	sAI_9042	s10852	s31716	s32109	LP13_F_REDO	s31761	LP05_F	s32186	LP18_F	LP02_F	s31369	sAI_5316	s31475	s29777	s27796	s31943	LC12_F	s29934	LP11_F	s32573	s32679	s29586	s22756	s32994	LP20_F	s11367	s29404	s33276	LP03_F	LP19_F	s29848	s11287	s29396	s31686	s29556	s30731	LC06_F	s21944	LC13_F	s22683	LC08_F	s29763	s26917	LC11_F	s31219	s30879	s33833	LC10_F	s24010	s30239	s32025	s25149	s31091	s31202	LC02_F	s27321_9596	LP12_F	LC03_F	s29780_9504	LP14_F	LC05_F	s31904	s27403	LP16_F	LC07_F	s22787	s20844	s27111	s28791	s1624	s28535	s30012	s10832	s31659	s29523	LP06_F	s29527	s27555	s21911	LP04_F	LC01_F	LP08_F_REDO	s28408	sAI_9328
s10852	0.830775287409	0.496496044825	0.376546247198	0.442278059328	0.453791261042	0.311304537904	0.795144930784	0.763107870138	0.217598394858	0.422852730389	0.0	0.435455616348	0.71129317996	0.643656980883	0.44515813118	0.475662699407	0.280274797627	0.654179473303	0.701855642057	0.444218928148	0.532146896506	0.650650346078	0.197317506922	0.419843340804	0.279603671721	0.349996312459	0.474023873434	0.54336429532	0.395228921556	0.562113062624	0.342059127225	0.438306013843	0.529876052736	0.391454132498	0.369234509558	0.657865304548	0.305214328939	0.572801635465	0.59936884443	0.331108545814	0.48993344232	0.176575694792	0.327717362558	0.484874831905	0.373676504285	0.323563189848	0.382440149637	0.430126651285	0.145347582729	0.30117081147	0.609166377719	0.286088932103	0.464765370468	0.213752475939	0.384583746869	0.298955891892	0.246346775873	0.398100153593	0.345983132498	0.276176178642	0.462258195781	0.369017145682	0.446267772577	0.573615347396	0.26455384443	0.441774822676	0.578492733685	0.336821297297	0.528481447594	0.499310309163	0.423869334871	0.0913038951879	0.482169234674	0.505094721819	0.267803294001	0.342652088332	0.334320224127	0.267495698748	0.357829129862	0.3418035735	0.653637712591	0.604837110086	0.580330295979	0.283846740277	0.545902260382	0.525477116678	0.21487400791	0.536727170073	0.536428813448	0.43594928675	0.360311307844	0.419785686223	0.563493234674
s31716	0.762137110745	0.472378134476	0.343670162821	0.401789938036	0.28791885234	0.37473486882	0.737079343441	0.697955308504	0.406012218194	0.340041423863	0.435455616348	0.0	0.659802290046	0.617336424522	0.334970618985	0.514807346737	0.396127154911	0.606742927488	0.661938787739	0.458638696111	0.409963700725	0.577047179301	0.357476197759	0.366995916941	0.32062899143	0.408418166117	0.389899517469	0.654619191826	0.376107810152	0.564528176664	0.228341085036	0.4711371147	0.536297027027	0.704564326302	0.271980618985	0.652854011206	0.478283896506	0.638656231378	0.654275228082	0.305714659196	0.392536493078	0.426978280158	0.333328887937	0.27180595122	0.451130119314	0.314747375742	0.265918836519	0.539025955175	0.371348721819	0.313395895188	0.594610982861	0.391681364535	0.539702641397	0.415055121951	0.301559041529	0.515082628873	0.367135595913	0.54879847528	0.367980246539	0.445205286091	0.335752380356	0.325733931444	0.32082729532	0.64662053263	0.412901504285	0.44700463151	0.529171423204	0.314493509558	0.608854437706	0.578922725775	0.592566473962	0.475816858932	0.604813602505	0.533270132498	0.285028356625	0.262771683586	0.32211728675	0.257493796309	0.294925119314	0.503477529993	0.657226667106	0.591153806196	0.660589475939	0.440838988134	0.615346969677	0.555037997363	0.406249505603	0.403067758075	0.587450810811	0.658495777192	0.48115574555	0.510779044166	0.519060430455
s32109	0.177097301912	0.646975796968	0.486459148978	0.721545659855	0.529679439024	0.622475124588	0.133095194463	0.116970044166	0.686275838497	0.491858541859	0.71129317996	0.659802290046	0.0	0.81264521292	0.480839121292	0.805781435069	0.731940729071	0.898703613052	0.943597396836	0.663849044166	0.495816391562	0.152269222808	0.628591580751	0.556517470007	0.620240404746	0.677639890574	0.728453338167	0.824001547792	0.655762222808	0.797935563612	0.6091654265	0.416049891233	0.206878089651	0.883245232037	0.519496302571	0.905581903098	0.790271404746	0.81608880356	0.842212099539	0.511983448912	0.73898687673	0.679521523401	0.522672964403	0.677131562294	0.755207156889	0.622244340804	0.538452103494	0.698198427159	0.676670166777	0.614823594595	0.128689026368	0.590275537245	0.814922621622	0.710038167436	0.510877464733	0.707333669084	0.669193296638	0.749728040211	0.738775411997	0.690041093606	0.530730802241	0.47339943441	0.522368190508	0.835292748846	0.73721641793	0.503432309822	0.837133506262	0.52103335267	0.875176466711	0.749647018457	0.777606634806	0.731040234015	0.882926964403	0.30377982004	0.584348361898	0.539233086355	0.567206792353	0.618852020435	0.519832220171	0.741398621622	0.827031641397	0.679568332235	0.834266230059	0.66657847528	0.813850731048	0.240142437706	0.693489348715	0.577457341463	0.78315332762	0.840279771918	0.766636692156	0.715803546473	0.210231694792
LP13_F_REDO	0.870188273566	0.630313145682	0.620384994726	0.421021121951	0.570949486486	0.623836661833	0.857544549769	0.815317220171	0.596629060646	0.669574429796	0.643656980883	0.617336424522	0.81264521292	0.0	0.62959884443	0.662517268952	0.648801347396	0.574932066579	0.654838654581	0.657764297956	0.700399056032	0.784692847067	0.631930029005	0.6017662294	0.552156067238	0.619950918919	0.657633824654	0.534789837838	0.649177592617	0.369217932762	0.628689125906	0.66620439354	0.727472167436	0.611561851681	0.60851360646	0.628119217535	0.613310916941	0.519963622281	0.490053781806	0.604634363876	0.442107637442	0.617045841134	0.572211413975	0.674988673698	0.661873264997	0.603513126566	0.61996360646	0.591113625577	0.615466939354	0.618973177983	0.762199193804	0.681837075808	0.599059784443	0.583145032301	0.599860560316	0.625846245221	0.648913087014	0.564856070534	0.625902481213	0.594489833223	0.564317850363	0.595523040211	0.618990738958	0.550074849044	0.65263206592	0.628498784443	0.564168141727	0.62584100857	0.597811670402	0.528368042848	0.601461261042	0.671666816744	0.614783858273	0.711115698748	0.566580310481	0.61507000791	0.603989220831	0.569731193804	0.605297096902	0.63855623797	0.372415798286	0.610075226104	0.601571771259	0.572306796968	0.542441929466	0.709896068556	0.586962607779	0.614181489123	0.510148725115	0.595763963085	0.653423533289	0.58776158998	0.681290793013
s31761	0.574091924852	0.393397222808	0.220828726434	0.480542334212	0.180058046144	0.354257137113	0.54024771325	0.510831510877	0.41890672116	0.151181023731	0.44515813118	0.334970618985	0.480839121292	0.62959884443	0.0	0.610141653263	0.491846409361	0.70017210679	0.747647637442	0.459563551088	0.231944222149	0.429454101516	0.342145363876	0.296026750824	0.327526193144	0.406492173368	0.457629242584	0.637519386289	0.463417512854	0.604965323006	0.304586476599	0.441211547792	0.350303569545	0.695645944628	0.141582943968	0.730921667765	0.592796845089	0.610916381015	0.642909379038	0.175144661173	0.491984620303	0.423735679631	0.223747431773	0.332943536585	0.515571365854	0.307796279499	0.185063509558	0.548132847067	0.388693408042	0.270149091628	0.398323738958	0.290306450231	0.610559682268	0.446439947924	0.164388564931	0.496018671721	0.380020051417	0.528088308504	0.490740177324	0.417420097561	0.185451829927	0.150885226763	0.109537160185	0.634622427818	0.494601937376	0.443782077126	0.628310594595	0.168059500989	0.689571019776	0.593151558339	0.560552954515	0.468082305867	0.689994164799	0.431417288069	0.259268059328	0.183405071193	0.283665017139	0.29645931971	0.136956487146	0.501105189189	0.672614576796	0.566016042848	0.671123241925	0.456841887937	0.627212594595	0.43785730323	0.431376158866	0.240511964403	0.591783373105	0.656420775873	0.552401905735	0.477291856955	0.359721261701
LP05_F	0.937647019117	0.665478868161	0.585272235992	0.401265806856	0.564759415953	0.463170288069	0.904245494397	0.824769738958	0.386759220831	0.559202883982	0.475662699407	0.514807346737	0.805781435069	0.662517268952	0.610141653263	0.0	0.361906038893	0.387658208306	0.352210764667	0.454361969018	0.731617272907	0.733123539881	0.493784232696	0.525888355307	0.446923870138	0.429805727752	0.322937179301	0.488654136454	0.266949135794	0.577501994067	0.405133408701	0.530925191826	0.676717263678	0.499767927488	0.564611529334	0.366811280158	0.32051656559	0.517160241266	0.585220325643	0.537884597891	0.405160702044	0.397549292024	0.558169790376	0.382430824654	0.272834350692	0.455721429136	0.54101863942	0.387963349374	0.429959092947	0.475915804878	0.722325783784	0.547821387607	0.256750843771	0.390307572182	0.590464169413	0.410149946605	0.387326195122	0.416852274225	0.302986845748	0.402401802241	0.647735796968	0.53883285234	0.610084367831	0.548054247198	0.318031714568	0.544331965063	0.428705330257	0.54893514766	0.471597305867	0.493524918919	0.378706884641	0.491076916282	0.410103700725	0.619182723797	0.49831704944	0.524308234015	0.528935317732	0.490792591958	0.540094653263	0.39517812261	0.662013897825	0.68244487739	0.499434887278	0.399478611734	0.510452131839	0.670905129202	0.412882742914	0.703205923533	0.453703582729	0.479975568227	0.355218524061	0.470451391562	0.692565302571
s32186	0.853105946605	0.577503257746	0.429054736322	0.381867886618	0.468231806856	0.321411820699	0.815459438365	0.768170562294	0.22607601648	0.441782969018	0.280274797627	0.396127154911	0.731940729071	0.648801347396	0.491846409361	0.361906038893	0.0	0.565338927488	0.589277706658	0.384413405405	0.606424164799	0.641374446276	0.326156520765	0.459834088332	0.325899662492	0.312041430455	0.411159001978	0.529433458141	0.361952300593	0.563412141068	0.319925266974	0.434917917601	0.556581595254	0.447430738958	0.436972773237	0.590975379697	0.255113928148	0.551656680949	0.599813051417	0.404555373764	0.413247748187	0.207428636124	0.417015272907	0.488721949901	0.24598676269	0.353488492419	0.381507918919	0.401868626236	0.219456301252	0.359077580092	0.623435659196	0.374484830587	0.363978613711	0.247788646012	0.463946307185	0.255545736322	0.266340997363	0.390824326302	0.230879158866	0.26597360646	0.544032334212	0.423848917601	0.487976285432	0.560365808833	0.246082888596	0.447119883982	0.468296239288	0.406314439024	0.453074084377	0.505270346078	0.353068375082	0.302437382334	0.405827055372	0.522265800264	0.339077635465	0.397144506262	0.377496518128	0.351828282795	0.409617509558	0.238169669743	0.653389520105	0.612604834542	0.555458369809	0.234473113382	0.528410976269	0.561785822017	0.227994427159	0.602776533289	0.474709232696	0.442150541859	0.256829839156	0.388522457482	0.586213386289
LP18_F	0.956310101516	0.720257291365	0.721566671061	0.478732524061	0.57433151615	0.62090571325	0.937732004614	0.861794856955	0.610447603164	0.708766388266	0.654179473303	0.606742927488	0.898703613052	0.574932066579	0.70017210679	0.387658208306	0.565338927488	0.0	0.321302874094	0.508168285432	0.803823170073	0.840249198418	0.64832036058	0.541797817403	0.543451845089	0.538961646012	0.463665980883	0.394731709295	0.465069564272	0.465864952538	0.534198694133	0.703975506922	0.812198012525	0.493779181279	0.658503935399	0.394082424522	0.49946587739	0.32168299143	0.40671177851	0.651368646671	0.497706731048	0.606301244562	0.68846517996	0.529212990771	0.462108986157	0.596190690837	0.671675945946	0.493784545155	0.593476800264	0.60010793408	0.84745425445	0.710633953197	0.378132588003	0.561584059987	0.703084732367	0.604673784443	0.609217273566	0.380842313777	0.498625210943	0.558499617666	0.702009522742	0.674937250494	0.672924098879	0.415836572841	0.48700936915	0.611736488464	0.34255644298	0.675787486486	0.43857881147	0.435448217535	0.472016419249	0.665175586025	0.391512660514	0.751400858273	0.645799910349	0.646752326302	0.685932174687	0.620758242584	0.654165759394	0.590238323006	0.519821416612	0.724125349374	0.455731361898	0.536295637442	0.423655576796	0.799541552406	0.56842182004	0.760135640079	0.388547023731	0.470463609097	0.513854752142	0.413905536585	0.805638193804
LP02_F	1.0323716414	0.799344816744	0.768391384311	0.527514638761	0.654282610415	0.636904027027	1.00073341529	0.933609691496	0.646561957811	0.725358872116	0.701855642057	0.661938787739	0.943597396836	0.654838654581	0.747647637442	0.352210764667	0.589277706658	0.321302874094	0.0	0.655032257746	0.890180586025	0.903360867502	0.704704462096	0.708697588003	0.598115823995	0.555692161503	0.384460570204	0.389043839815	0.471921145023	0.535385781806	0.576219814766	0.725807078444	0.856866616348	0.466440943968	0.705891520105	0.19707154911	0.548844495715	0.423533396177	0.48567836915	0.687164087673	0.564454910349	0.636687414634	0.741447531971	0.528993431114	0.479793493738	0.604573477917	0.697003468688	0.507434023072	0.643137176005	0.610991206328	0.888217876071	0.76121356559	0.339748986157	0.598068767963	0.750736843111	0.609637214898	0.623275356625	0.507662769941	0.525496446276	0.567367375082	0.78360018853	0.722421108108	0.729029963085	0.424489885959	0.519086492419	0.661078670402	0.341244581411	0.71810718853	0.411203623599	0.493982984838	0.485916175346	0.7120141147	0.377503593935	0.76847406592	0.684393335531	0.683619026368	0.729385031641	0.657933150956	0.695349593276	0.607453419908	0.683425230719	0.80532549967	0.566601840475	0.58105592617	0.430158930784	0.851124513514	0.615308719183	0.851082838497	0.402133796309	0.486283241266	0.536665649967	0.585548165458	0.85841713118
s31369	0.77572493408	0.497049261701	0.424585420567	0.424200613052	0.402569146341	0.352330912327	0.746106852999	0.664777427159	0.423524539881	0.372501061305	0.444218928148	0.458638696111	0.663849044166	0.657764297956	0.459563551088	0.454361969018	0.384413405405	0.508168285432	0.655032257746	0.0	0.555840326961	0.596628371127	0.420657220831	0.246279593935	0.381849195781	0.395067244562	0.463522325643	0.560205749506	0.393002825313	0.599034388926	0.347647702044	0.472237659196	0.527887646671	0.598284435728	0.439055010547	0.657984820699	0.461144818062	0.541044512195	0.651574153593	0.401402584047	0.44571486882	0.398172313118	0.40443168029	0.499008864865	0.382835767304	0.400578005933	0.403388359262	0.501320979565	0.403387030323	0.385574384311	0.579656314436	0.45122256559	0.490387648649	0.419461883982	0.442368005274	0.423963331575	0.37470118062	0.386358224786	0.393017147001	0.410998011206	0.509514224786	0.398166520765	0.462116814107	0.630352449572	0.437768296638	0.480348922874	0.555874765326	0.428957202373	0.577863939354	0.588024654581	0.410660203691	0.47082752472	0.559226597891	0.511186128543	0.405803193804	0.407392609097	0.403361903757	0.39794817205	0.416395765326	0.446328854977	0.563569183916	0.592118204351	0.35396084443	0.425452906394	0.600771469347	0.527966131839	0.411850796309	0.543648369809	0.521113531971	0.587202657877	0.445834334871	0.294218727752	0.570706132498
