	s28504	s29753	s31166	LP17_F	LP09_F	s26891	s31407	s12389	s29745	sAI_9042	s10852	s31716	s32109	LP13_F_REDO	s31761	LP05_F	s32186	LP18_F	LP02_F	s31369	sAI_5316	s31475	s29777	s27796	s31943	LC12_F	s29934	LP11_F	s32573	s32679	s29586	s22756	s32994	LP20_F	s11367	s29404	s33276	LP03_F	LP19_F	s29848	s11287	s29396	s31686	s29556	s30731	LC06_F	s21944	LC13_F	s22683	LC08_F	s29763	s26917	LC11_F	s31219	s30879	s33833	LC10_F	s24010	s30239	s32025	s25149	s31091	s31202	LC02_F	s27321_9596	LP12_F	LC03_F	s29780_9504	LP14_F	LC05_F	s31904	s27403	LP16_F	LC07_F	s22787	s20844	s27111	s28791	s1624	s28535	s30012	s10832	s31659	s29523	LP06_F	s29527	s27555	s21911	LP04_F	LC01_F	LP08_F_REDO	s28408	sAI_9328
s10852	0.592431363227	0.60737343798	0.553275039776	0.568596080087	0.601015595856	0.468861752545	0.628764555133	0.57508193809	0.655566514955	0.581862131113	0.0	0.597271469613	0.611733380156	0.700808151081	0.585078098938	0.63742119741	0.594056041041	0.639845759239	0.609200616291	0.607178993676	0.630299345906	0.575433442937	0.591348305027	0.529173249798	0.56623942819	0.678808251032	0.609492854143	0.620912502518	0.548427737805	0.686014523448	0.576740977939	0.643401480064	0.520580081833	0.619939424343	0.505802518826	0.619243026894	0.588132970562	0.58862865891	0.601683343863	0.478384778333	0.674249450666	0.567820415395	0.580869375273	0.572107032872	0.579290796051	0.675824218043	0.559487334597	0.670301353415	0.565702393925	0.511689731745	0.533308963589	0.539202201734	0.628084600148	0.45348769969	0.490504126479	0.625108707378	0.68546017026	0.536974891284	0.605531541743	0.643345947968	0.493659199675	0.519031092854	0.560568985633	0.553942032854	0.633882432886	0.516404090999	0.596368982465	0.510541570984	0.538511602576	0.599187196805	0.651092588683	0.469494929657	0.557985806886	0.602197329548	0.456147659657	0.557500196233	0.499658347274	0.490804066132	0.494905605085	0.616723717194	0.720082033363	0.60231704462	0.629319586343	0.606696583861	0.596479307907	0.533475339674	0.508230625947	0.58318549603	0.613395913142	0.56826590695	0.548208535363	0.59093806047	0.553570774488
s31716	0.712320614768	0.634560003073	0.645176130465	0.608140428745	0.552936951308	0.584638489832	0.686173360275	0.655296513985	0.600456437308	0.552631845033	0.597271469613	0.0	0.632547109141	0.670658381571	0.504433602727	0.649975127688	0.551785142498	0.628412234408	0.644618595472	0.569056911757	0.626435239516	0.555458330002	0.638184321071	0.524980403387	0.537084059472	0.656427769907	0.48660787002	0.664321460934	0.520877070212	0.709295581122	0.458094057601	0.686402879409	0.56214014164	0.61646709557	0.448548881789	0.541912604885	0.563166266075	0.64054081458	0.661369126994	0.650421411534	0.592603021544	0.558158852296	0.646460403126	0.463310571065	0.506728601253	0.674411427443	0.494140602112	0.658365761561	0.530389730739	0.533184976081	0.616370081258	0.562641443194	0.629577879263	0.584040294876	0.638299005033	0.63820003797	0.635710235033	0.652476592873	0.569103755833	0.63066431036	0.605292929163	0.571667516514	0.53261559132	0.600277048615	0.515761463781	0.586214380695	0.57566416394	0.583514443917	0.593186569147	0.663167215503	0.59600198661	0.599103677879	0.564631846094	0.703048107056	0.616853865577	0.562241639698	0.510867982915	0.484220965258	0.561640572748	0.534365069012	0.744774787751	0.509246345503	0.619517044695	0.622140566862	0.605381881196	0.648367603418	0.597558017696	0.674200489293	0.616641285612	0.626150525293	0.539715504269	0.578210990452	0.606071804704
s32109	0.57539095569	0.677952024472	0.586671631429	0.65589960854	0.665479538406	0.628969667963	0.607697488824	0.587378811721	0.68714143593	0.60664753235	0.611733380156	0.632547109141	0.0	0.713915603156	0.619575127369	0.678126609958	0.627479506091	0.699373937724	0.655756947134	0.575842097654	0.684690728102	0.588701786112	0.637372421001	0.62823155931	0.598533739896	0.693693633306	0.591298297396	0.653348353584	0.593289336242	0.718423817885	0.646434676318	0.603221357683	0.547127538454	0.669903471318	0.614040105275	0.677116501439	0.550636409218	0.63916787403	0.622869849568	0.53943398323	0.725780637918	0.595027016223	0.650304234674	0.6704065891	0.587028957188	0.648004446299	0.62979137361	0.667974594633	0.587710148696	0.620118870681	0.556510277866	0.589634064532	0.661802232173	0.569372853005	0.631732670695	0.648016735163	0.65792418275	0.576419084191	0.610940178186	0.656940101372	0.617217553361	0.561587249532	0.592873781235	0.600656204478	0.643411270453	0.614349841584	0.633148203347	0.586764582749	0.637936815232	0.66354714725	0.666999157155	0.589762120665	0.630851193378	0.651651585658	0.606103190296	0.597722606904	0.597222909524	0.621634913875	0.594037411624	0.606199956581	0.755907189528	0.645514946568	0.652000547771	0.572485527286	0.640922212372	0.554134503371	0.594526912083	0.549287638994	0.640250960684	0.640657537087	0.622680772488	0.641364551575	0.608933010798
LP13_F_REDO	0.70979077597	0.639974698493	0.742236791397	0.649822378025	0.595752679729	0.680868530695	0.779766368317	0.734973145776	0.770740632323	0.765583607855	0.700808151081	0.670658381571	0.713915603156	0.0	0.652932353047	0.75985886099	0.707272649559	0.534657539821	0.673350662262	0.686308158833	0.708560754172	0.69477544709	0.712428684829	0.668590901445	0.690258796639	0.759246366246	0.690517519753	0.664778481471	0.71417144547	0.676979289094	0.614818523028	0.776359822237	0.702123730472	0.732978624541	0.674891457305	0.686175903098	0.681908261778	0.570095752782	0.593152338464	0.708148964749	0.670866102836	0.772365481173	0.665014922646	0.693950572165	0.699201707974	0.762599525639	0.675411761391	0.725411797438	0.761719574568	0.697862797865	0.732014087275	0.674956584876	0.718637407037	0.697771642944	0.687096412932	0.769875807982	0.760835658699	0.738582944331	0.736646985086	0.745162696779	0.646795043703	0.71693300014	0.69896272194	0.631063990021	0.706742320196	0.648755068324	0.683629468108	0.665651355553	0.690621882952	0.738913527059	0.769681454788	0.716102647343	0.684281143968	0.767664457491	0.706551955324	0.656386809986	0.697117507206	0.668052959761	0.619799399671	0.738862427929	0.714986592909	0.623806902505	0.720599239767	0.767424280301	0.726052245636	0.69430304423	0.739514414621	0.647205646103	0.630882298398	0.667505467829	0.658564183476	0.634618887499	0.689880458216
s31761	0.631929343928	0.592985421846	0.599311038154	0.601563911483	0.540719457745	0.597638808107	0.64664737637	0.617717839746	0.631071023657	0.568712900959	0.585078098938	0.504433602727	0.619575127369	0.652932353047	0.0	0.639866794818	0.591567998913	0.614632719607	0.665686401554	0.562156803574	0.620110303824	0.506098865679	0.561648237797	0.490521127724	0.542476472605	0.649161755661	0.512679086967	0.672288050187	0.499709856449	0.66441732074	0.522602705715	0.647630347599	0.481405886538	0.638407198939	0.48401233172	0.612862112788	0.541739742003	0.585702729407	0.606682781747	0.547549061122	0.597247485477	0.598185416537	0.566442733082	0.519871360375	0.492163962772	0.664036543831	0.533345268321	0.668006836648	0.545172466775	0.464892938618	0.536527294502	0.514673651645	0.657214320817	0.544900450485	0.562043815195	0.650719782367	0.657265764807	0.588103370125	0.575026943318	0.594854396137	0.547152051256	0.496524622863	0.43049842845	0.575499669868	0.555036590513	0.550360604219	0.587737601676	0.484188594829	0.600336445876	0.640164745825	0.630351088016	0.520484451613	0.529891282026	0.643330750705	0.533857047428	0.546220827117	0.535387040352	0.482548113534	0.440187470877	0.610042915717	0.700967788942	0.584514181353	0.628787791545	0.59954494125	0.60453310868	0.600095513209	0.556959004699	0.606283152984	0.562456682961	0.610299310509	0.561421822513	0.579359998504	0.528560479541
LP05_F	0.730845560173	0.750011970828	0.689554645946	0.57824830092	0.667749189577	0.615443552699	0.764417137043	0.594871374643	0.504374250687	0.614832968694	0.63742119741	0.649975127688	0.678126609958	0.75985886099	0.639866794818	0.0	0.548690515668	0.713270853668	0.561281086539	0.561913069808	0.788139328609	0.696109130996	0.727529575579	0.612113945047	0.568199849572	0.526788809081	0.612269157107	0.581021831438	0.502628021341	0.779636443513	0.618786794396	0.542505011816	0.635852213796	0.550107425864	0.664979760594	0.693478105358	0.625760726789	0.675890167778	0.727843250936	0.651976765222	0.711009929495	0.543665264339	0.761347301318	0.69978405267	0.560235023511	0.513526787839	0.657663933435	0.578652356786	0.614106882859	0.579572690275	0.626760277115	0.692598789273	0.483559000368	0.571908690873	0.675555360978	0.536146299346	0.51039774672	0.646210593835	0.538791299962	0.544987912396	0.721941862828	0.60863887915	0.682431147295	0.668274886134	0.599773164518	0.689692337283	0.549542873686	0.673495751017	0.565066498972	0.535572392053	0.518691736461	0.646558324277	0.562762194949	0.54268633125	0.675988905153	0.618985583676	0.668044798547	0.64262538825	0.633113540664	0.58256833563	0.825567442914	0.699363894662	0.544040641989	0.566507213587	0.490062486101	0.671031607999	0.599695151403	0.73369247786	0.637834276763	0.569536523148	0.626308327129	0.675327859673	0.691486651391
s32186	0.71986533944	0.751715780751	0.632394884575	0.600619970486	0.616302108614	0.602390402209	0.671324676804	0.588073458099	0.519187270707	0.547605971077	0.594056041041	0.551785142498	0.627479506091	0.707272649559	0.591567998913	0.548690515668	0.0	0.630087144402	0.602043981026	0.48922469946	0.734804044332	0.59388189722	0.707017029399	0.567312458918	0.579094630122	0.565493829388	0.572931899083	0.621431354512	0.509657001908	0.780258495122	0.495239896997	0.547827068209	0.578263036005	0.594749497864	0.587434468331	0.65816837511	0.605658611248	0.670006819564	0.715411568704	0.594197021136	0.71282643187	0.500114932068	0.742623429874	0.621115774865	0.558117910365	0.580527848692	0.574946069006	0.564263754357	0.488339710277	0.537898527051	0.543373056189	0.652677082224	0.53224741798	0.517664820778	0.665648340926	0.481484809432	0.559689816149	0.603696448343	0.492142448687	0.562952769436	0.69617458375	0.52199434943	0.574356478845	0.622907193098	0.643561991833	0.635828357233	0.583098369627	0.630793500328	0.580048233737	0.607728518615	0.534391576166	0.542522516782	0.587033298225	0.578069729879	0.593803823334	0.630995807599	0.624396034683	0.624145223123	0.61969899723	0.498314214069	0.817554254559	0.553965989905	0.641840318237	0.534312198941	0.530638680601	0.641688040109	0.505765172653	0.705599271059	0.654566037487	0.551211244678	0.616057790684	0.689014759568	0.639152105669
LP18_F	0.701998507712	0.673024961938	0.73286873767	0.589244323678	0.502112691225	0.610063468781	0.748983659621	0.705784794563	0.725429323183	0.698719393012	0.639845759239	0.628412234408	0.699373937724	0.534657539821	0.614632719607	0.713270853668	0.630087144402	0.0	0.611223153028	0.613376291116	0.686828295884	0.615225737896	0.703597987273	0.598182593453	0.664474772793	0.704651117265	0.628685240475	0.62292977559	0.607422370441	0.669667010339	0.516064890045	0.722250194654	0.668820098146	0.605894862466	0.642139538877	0.57525786879	0.596199778723	0.468960373054	0.55643034583	0.659208638476	0.58099440803	0.689650060919	0.578091721235	0.631451559419	0.617886835136	0.734746664023	0.615913903201	0.699870907523	0.703521655888	0.644986809388	0.700468094876	0.654588528923	0.669348232469	0.611068201531	0.691277192752	0.736807721205	0.729804432228	0.634763158252	0.669079186543	0.721140770977	0.650925731689	0.649199658638	0.655202380563	0.558595130365	0.642178279772	0.608366227526	0.595550998805	0.622069577819	0.521737128953	0.700481978174	0.719015601136	0.679497612482	0.58568942106	0.728449851329	0.640978907324	0.637182361852	0.634250267825	0.597962791211	0.580564557275	0.70047108384	0.713535459227	0.616625107678	0.66607387951	0.743423835316	0.612464689789	0.701978253932	0.695678994541	0.642300065694	0.522034718827	0.620760096632	0.558554230503	0.576793354796	0.642909613483
LP02_F	0.719257587643	0.712332518952	0.721945354476	0.55189397727	0.623580430608	0.57521857155	0.723856826847	0.686854060721	0.64018346067	0.662057146968	0.609200616291	0.644618595472	0.655756947134	0.673350662262	0.665686401554	0.561281086539	0.602043981026	0.611223153028	0.0	0.550708651008	0.773570971169	0.704872875648	0.714099030358	0.62023280478	0.56979703124	0.600487913936	0.577971949992	0.483719710262	0.580634269938	0.757260132864	0.641553318049	0.654064547744	0.644019777104	0.489163086896	0.666443207452	0.628553392552	0.581939496261	0.512886989677	0.608468706852	0.610350431328	0.68166119138	0.59680474739	0.691553017601	0.66775747506	0.583533364441	0.581238405638	0.625513849979	0.5973812872	0.627345324715	0.558366487278	0.648226239899	0.684294381979	0.521202919489	0.567625319131	0.653625385638	0.624869976391	0.569579208021	0.637049829228	0.563914319502	0.589919846873	0.670658714839	0.62287808642	0.642332415687	0.527078455983	0.638779690898	0.646128939449	0.480215963085	0.685836205939	0.488595893315	0.608175210763	0.561186799688	0.64794953765	0.525074027473	0.639872122555	0.656629282975	0.626074795644	0.607149104314	0.594428527694	0.611198648541	0.587802471126	0.793875869736	0.686942568339	0.598087762056	0.614408845594	0.518872365713	0.678887448088	0.62071420378	0.684073483151	0.511863435662	0.566787210128	0.577844566911	0.633334566345	0.68802280515
s31369	0.703582827537	0.690086418205	0.613049785487	0.505824809639	0.539758522282	0.55177628592	0.698366356517	0.631433059566	0.599100291894	0.600353795967	0.607178993676	0.569056911757	0.575842097654	0.686308158833	0.562156803574	0.561913069808	0.48922469946	0.613376291116	0.550708651008	0.0	0.711601293832	0.586665430314	0.679213722274	0.494704319282	0.557531344109	0.540920254131	0.547634971508	0.548853396177	0.4931273429	0.72068544305	0.511433849849	0.574112515574	0.56384186072	0.577474226478	0.578568778549	0.602114575054	0.508778616338	0.589150286579	0.660281991941	0.540664604049	0.628128616007	0.524355146174	0.68954771385	0.63362770199	0.509062608874	0.592267512672	0.585634659462	0.586380025888	0.537570590322	0.538399563915	0.56680899112	0.593944020481	0.542284004031	0.511960732067	0.639889871765	0.554482184292	0.597455509986	0.566075802021	0.520098357534	0.590864143761	0.66011509897	0.551504574817	0.558352533046	0.549070554827	0.595575634119	0.615085240023	0.508919029033	0.598901247419	0.541401373297	0.615346869868	0.552172057676	0.595032941456	0.512844288668	0.619100818963	0.608232203732	0.56718452869	0.578854554421	0.547750272264	0.581736476575	0.5326162498	0.769676338321	0.633631297882	0.592377278777	0.536436798514	0.535898403171	0.622615488191	0.579734805237	0.633830000047	0.570332220112	0.56889906835	0.577538537929	0.602353014545	0.624455007974
