# Constructed from biom file
#OTU ID	Control	SLE
d:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae	1.34581206165e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae	4.57576100962e-06	3.53482306845e-06
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Chitinophagaceae	1.88413688631e-06	3.21347551677e-06
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae	0.0	5.62358215435e-06
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast;f:Chloroplast;g:Streptophyta	4.65650973332e-05	5.51111051126e-05
d:Bacteria;p:Firmicutes;Other;Other;Other	0.00894319031209	0.00345239742144
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae_1	3.76827377263e-06	2.15302859624e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillales_Incertae_Sedis_XI	2.39554546974e-05	9.64042655031e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Paenibacillaceae_1	0.0	5.94492970603e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae	6.45989789593e-06	9.64042655031e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;Other	1.50730950905e-05	1.60673775839e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Aerococcaceae	1.07664964932e-06	7.0696461369e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae	8.07487236991e-07	3.21347551677e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae	8.31711854101e-05	0.000640284996717
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae	0.000676943467011	0.00151627842259
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Leuconostocaceae	1.13048213179e-05	1.71920940147e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae	0.00506321413835	0.00917495462171
d:Bacteria;p:Firmicutes;c:Clostridia;Other;Other	0.000292579542203	0.000144285050703
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;Other	0.0338224104086	0.0177493106693
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Catabacteriaceae	1.45347702658e-05	1.34965971704e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Christensenellaceae	2.74545660577e-05	3.55089044603e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae_1	0.00252635840213	0.00512934961987
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales_Incertae_Sedis_XI	3.22994894797e-05	7.35885893341e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales_Incertae_Sedis_XIII	0.000797259065323	0.000223818569743
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Eubacteriaceae	0.0094257985174	0.00760661789575
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae	0.244446842981	0.224984579334
